Rating,Name,Symbol,Rating Agency Name,Date,Sector,currentRatio,quickRatio,cashRatio,daysOfSalesOutstanding,netProfitMargin,pretaxProfitMargin,grossProfitMargin,operatingProfitMargin,returnOnAssets,returnOnCapitalEmployed,returnOnEquity,assetTurnover,fixedAssetTurnover,debtEquityRatio,debtRatio,effectiveTaxRate,freeCashFlowOperatingCashFlowRatio,freeCashFlowPerShare,cashPerShare,companyEquityMultiplier,ebitPerRevenue,enterpriseValueMultiple,operatingCashFlowPerShare,operatingCashFlowSalesRatio,payablesTurnover
A,Duke Energy Corporation,DUK,Egan-Jones Ratings Company,6/10/2013,Public Utilities,1.009273108,0.184863895,0.141988234,1.804168365,0.090093763,0.124898084,1.0,0.159294741,0.015528387,0.023606576,0.043266525,0.172358066,0.286239389,1.786285882,0.641099283,0.287637699,-0.049008391,-0.447735192,3.06097561,2.786285882,0.124898084,13.23460713,9.135888502,0.267223808,0.0
BBB,Duke Energy Corporation,DUK,Moody's Investors Service,6/15/2012,Public Utilities,1.244573082,0.439399421,0.381693198,3.24075986,0.117420332,0.169660679,1.0,0.191134971,0.02728465,0.043247131,0.074916564,0.232367335,0.340568669,1.745740383,0.635799507,0.305070994,-0.188180828,-0.518768769,1.726726727,2.745740383,0.169660679,21.22620862,2.756756757,0.252735907,0.242847174
BBB,Duke Energy Corporation,DUK,Moody's Investors Service,8/10/2016,Public Utilities,0.69595706,0.290104753,0.033936456,12.05271952,0.094622521,0.164182386,1.0,0.23484149,0.01620958,0.030806039,0.052445593,0.171307839,0.275605914,2.235469013,0.690925799,0.309587574,-0.162253604,-1.596237337,3.762662808,3.235469013,0.164182386,10.93080143,9.837916064,0.298905158,2.212758851
AA,Danaher Corporation,DHR,Egan-Jones Ratings Company,4/28/2014,Capital Goods,2.013009674,1.450457216,0.688077042,65.89779266,0.140966628,0.186525787,0.520849461,0.171299299,0.077727978,0.118295693,0.120391507,0.551392758,8.64559309,0.548882526,0.354373244,0.244251262,0.846177447,4.358908046,4.475862069,1.548882526,0.186525787,9.620959735,5.151293103,0.187535307,5.151501518
AA,Danaher Corporation,DHR,Egan-Jones Ratings Company,7/18/2014,Capital Goods,1.747702172,1.230338744,0.556963902,66.60391286,0.130482379,0.174843576,0.5243851,0.172307646,0.070242784,0.110199935,0.111146757,0.538331572,9.039400817,0.582322772,0.36801769,0.253719341,0.841022776,4.501424096,4.280262034,1.582322772,0.174843576,10.14399103,5.352321276,0.188733441,5.05136
A,Danaher Corporation,DHR,Egan-Jones Ratings Company,10/27/2015,Capital Goods,1.270047323,0.77059834,0.128160249,70.36373407,0.163273047,0.161648779,0.523388983,0.168705108,0.069623534,0.079045368,0.141720451,0.426423929,7.277427803,1.035525088,0.508726271,0.218200963,0.833499921,4.539177768,1.132788999,2.035525088,0.161648779,12.81696067,5.445924653,0.184884575,4.783113714
A,Danaher Corporation,DHR,Moody's Investors Service,6/15/2012,Capital Goods,1.503431185,125.950472,0.12871462,69.18423341,0.135002554,0.152129699,0.508165916,0.162656194,0.072531022,0.094960981,0.128499964,0.537256665,7.658551445,0.771655217,0.435556089,0.209392818,0.872643947,3.389383423,772.6160191,1.771655217,0.152129699,9.730735496,3.884039345,0.163218077,5.56359996
BB,"CACI International, Inc.",CACI,Standard & Poor's Ratings Services,4/19/2016,Technology,1.692499769,1.580057596,0.088480563,61.04440742,0.037961466,0.061506856,0.072211677,0.072211677,0.041544729,0.076727905,0.091421267,1.094392094,55.96825197,1.200550354,0.545568227,0.380058838,0.923083119,7.82636903,1.509411413,2.200550354,0.061506856,9.090784028,8.478509539,0.055727183,58.18365588
BB,"CACI International, Inc.",CACI,Standard & Poor's Ratings Services,11/26/2014,Technology,1.741295875,1.609233128,0.152539004,61.02316954,0.041197559,0.066546351,0.07355832,0.07355832,0.045157121,0.083439041,0.111792247,1.096111562,53.76345185,1.475628333,0.596062145,0.376891149,0.938078298,10.16479791,2.801434159,2.475628333,0.066546351,8.629256679,10.83576706,0.067716371,61.11965383
BB,"CACI International, Inc.",CACI,Standard & Poor's Ratings Services,10/25/2013,Technology,0.980445633,0.914422204,0.086649858,60.92760708,0.041197559,0.066546351,0.07355832,0.07355832,0.060644914,0.139314897,0.125893122,1.472051142,56.20500687,1.075905695,0.518282549,0.376891149,0.938078298,10.16479791,2.796045198,2.075905695,0.066546351,6.354931925,10.83576706,0.067716371,25.63366724
BB,"CACI International, Inc.",CACI,Standard & Poor's Ratings Services,9/29/2016,Technology,1.631063598,1.509085665,0.086843744,88.54608577,0.038085658,0.060849833,0.071339799,0.071339799,0.031648911,0.058916797,0.078519616,0.830992885,40.72481011,1.480957927,0.596929884,0.37360321,0.92310744,8.744696843,2.049523969,2.480957927,0.060849833,12.09403002,9.473108402,0.068466964,32.29842553
A,"Southwest Gas Holdings, Inc.",SWX,Standard & Poor's Ratings Services,9/4/2014,Public Utilities,1.29034049,0.685384702,0.085908402,48.48254731,0.066515311,0.103453964,0.253338468,0.134082133,0.027096381,0.061535864,0.094809418,0.407370586,0.579957593,2.500486052,0.714634937,0.357054018,-0.145703374,-1.085050901,0.868191198,3.498969784,0.137421425,7.917552738,7.446985402,0.163275608,9.430417649
BBB,"Southwest Gas Holdings, Inc.",SWX,Moody's Investors Service,6/15/2012,Public Utilities,0.544654824,0.287844751,0.040966625,40.47015454,0.059499636,0.093043194,0.23874092,0.13251462,0.026259779,0.071517096,0.091586597,0.441343524,0.586275499,2.488520579,0.713510525,0.360515975,-0.511617111,-2.808650606,0.756283231,3.487713904,0.129924523,6.872967958,5.489751112,0.133554262,7.69264009
AA,"Southwest Gas Holdings, Inc.",SWX,Standard & Poor's Ratings Services,4/2/2014,Public Utilities,1.139366691,0.600109636,0.094611714,41.0636273,0.074493203,0.114447437,0.261962639,0.140566706,0.031832303,0.069465337,0.102734279,0.427318214,0.559587368,2.228863723,0.690615297,0.349105535,-0.052185241,-0.38978778,0.886218667,3.227359329,0.147101009,7.216166957,7.469310766,0.177471906,7.845578739
BBB,"Southwest Gas Holdings, Inc.",SWX,Standard & Poor's Ratings Services,4/27/2011,Public Utilities,0.746939917,0.505027967,0.257767258,29.43437423,0.056751883,0.08675946,0.230871228,0.126814181,0.026072281,0.069788842,0.088976848,0.459408216,0.595739342,2.413097311,0.707093507,0.345870959,0.41929093,3.415148723,3.378330612,3.412699011,0.129149227,6.241508397,8.145057473,0.202687324,8.504440122
A,"Southwest Gas Holdings, Inc.",SWX,Fitch Ratings,5/28/2013,Public Utilities,0.856647649,0.415681079,0.047708123,37.282947,0.069163047,0.108211111,0.256744293,0.140848168,0.029707956,0.069980278,0.101765484,0.429535097,0.576524152,2.426812672,0.70844889,0.360850786,-0.024300846,-0.203464232,0.553306545,3.425529641,0.143495257,6.4648439,8.3727222,0.200398594,9.204468513
AA,"Southwest Gas Holdings, Inc.",SWX,Standard & Poor's Ratings Services,1/21/2016,Public Utilities,1.04322814,0.655101907,0.067278453,46.59673449,0.056143691,0.088576386,0.226675326,0.117035669,0.025811743,0.060140889,0.086751321,0.459744322,0.633146025,2.362230997,0.702851539,0.366155101,0.116038112,1.352178614,0.759824751,3.360924556,0.117752499,7.509075713,11.65288363,0.224084428,11.55657327
A,"America Movil, S.A.B. de C.V.",AMOV,Fitch Ratings,6/15/2012,Public Utilities,0.937713857,0.725698995,0.228819471,67.91831161,0.120361236,0.177966754,0.580278037,0.228425795,0.088383308,0.21077418,0.361114892,0.734317051,1.480338752,3.057552606,0.748339709,0.323686964,0.378211529,84.59014236,68.43055093,4.085781591,0.208100988,1.438815511,223.6582859,0.280072745,2.022110779
A,"WEC Energy Group, Inc.",WEC,Egan-Jones Ratings Company,5/15/2015,Public Utilities,0.920117457,0.656918559,0.037094744,7386.005747,33.81034483,54.59770115,1.0,63.9137931,0.038797367,0.070398008,0.052071624,0.0011475,0.001545609,0.34214323,0.254923038,0.380736842,0.38540536,2.046099291,3.298315603,1.34214323,54.59770115,11.18531636,5.308953901,68.83333333,2.851637765
BBB,"WEC Energy Group, Inc.",WEC,Egan-Jones Ratings Company,12/5/2013,Public Utilities,1.036554397,0.8078054,0.017375033,3087.291667,12.02916667,19.06875,1.0,22.50208333,0.039094344,0.068959542,0.05455559,0.003249963,0.004401005,0.395485511,0.283403524,0.369168579,0.441592201,2.388400703,3.527240773,1.395485511,19.06875,9.661776667,5.408611599,25.64583333,1.967308815
A,"WEC Energy Group, Inc.",WEC,Egan-Jones Ratings Company,9/14/2015,Public Utilities,0.81461794,0.5393134,0.018383167,63.35347024,0.10774371,0.181249051,0.621994229,0.211015676,0.021750831,0.040309688,0.056762115,0.201875647,0.308816709,1.609652671,0.616807244,0.40387301,0.0211812,0.101069716,1.594983401,2.609652671,0.181249051,13.19784787,4.77167097,0.218288588,2.747240618
BB,FirstEnergy Corp.,FE,Egan-Jones Ratings Company,8/14/2015,Public Utilities,0.542663335,0.303998572,0.023384506,34.37208838,0.038466658,0.059430321,1.0,0.152535605,0.011075555,0.01916926,0.046534095,0.287926112,0.403772774,3.201513566,0.761990534,0.352743561,0.215549753,1.760663507,0.682464455,4.201513566,0.059430321,8.184463602,8.168246445,0.229402369,0.810232558
BB,FirstEnergy Corp.,FE,Egan-Jones Ratings Company,6/13/2014,Public Utilities,0.508969491,0.275500851,0.02854524,42.08621036,0.026278742,0.038211437,1.0,0.107729436,0.007774076,0.013321803,0.030885597,0.29583135,0.448604595,2.972896313,0.748294463,0.342105263,0.009015778,0.057416268,0.918660287,3.972896313,0.038211437,8.448940118,6.368421053,0.178454113,1.9968
BB,FirstEnergy Corp.,FE,Egan-Jones Ratings Company,8/29/2014,Public Utilities,0.696996943,0.323323143,0.015285021,37.69087647,0.01986843,0.011362881,1.0,0.070569473,0.005731703,0.003669134,0.024074074,0.28848292,0.420562837,3.200161031,0.76191389,-0.245614035,-0.220788795,-1.426190476,0.580952381,4.200161031,0.011362881,14.04790236,6.45952381,0.180277759,0.979671618
BBB,FirstEnergy Corp.,FE,Moody's Investors Service,6/15/2012,Public Utilities,0.691040165,0.404119464,0.041606591,34.23699102,0.05443474,0.088756305,0.857485546,0.104440891,0.01870008,0.033976125,0.066641566,0.343532097,0.535913241,2.563704819,0.719393145,0.397782398,0.255305256,1.959899749,1.095238095,3.563704819,0.088756305,10.16552395,7.676691729,0.188399557,1.973594549
BBB,FirstEnergy Corp.,FE,Moody's Investors Service,3/1/2013,Public Utilities,0.495463511,0.260092045,0.0226167,38.49637326,0.050316931,0.086518983,1.0,0.142194341,0.015275959,0.030933857,0.058850504,0.30359481,0.465094368,2.852491593,0.740427727,0.417673716,-0.155172414,-0.861244019,0.870813397,3.852491593,0.086518983,8.880766807,5.550239234,0.151604261,1.545340838
BBB,CMS Energy Corporation,CMS,Egan-Jones Ratings Company,11/4/2013,Public Utilities,1.298714653,1.199485861,0.088431877,50.80871154,0.068839476,0.115138593,1.0,0.173926287,0.025953147,0.04886562,0.130862768,0.377009646,0.405709343,4.042269832,0.801676619,0.399470899,0.067558058,0.36294896,5.364839319,5.042269832,0.115138593,8.079850282,5.372400756,0.21641791,2.099145299
BBB,CMS Energy Corporation,CMS,Egan-Jones Ratings Company,11/12/2015,Public Utilities,1.007819288,0.9196351,0.115551694,43.75929368,0.081009913,0.123296159,1.0,0.180142503,0.025712881,0.044129061,0.132808532,0.31740413,0.439034342,4.165058405,0.806391347,0.340452261,0.046341463,0.275761974,4.873004354,5.165058405,0.123296159,10.00487611,5.95065312,0.254027261,1.518167457
BBB,CMS Energy Corporation,CMS,Egan-Jones Ratings Company,2/9/2015,Public Utilities,1.289473684,1.195630586,0.102780536,44.7924502,0.066443794,0.101546176,1.0,0.160468032,0.024863174,0.042455303,0.129972752,0.374198593,0.535266925,4.227520436,0.808704717,0.342935528,-0.08984105,-0.480413895,5.643015521,5.227520436,0.101546176,9.841446924,5.347376201,0.201560106,2.202064897
BB,CMS Energy Corporation,CMS,Moody's Investors Service,6/15/2012,Public Utilities,1.097091531,1.03635586,0.068862275,48.77518069,0.0638167,0.093187759,1.0,0.154236506,0.025224897,0.042936092,0.137054161,0.395271092,0.440851468,4.4332893,0.815949429,0.315181518,0.245508982,1.144338118,6.196172249,5.4332893,0.093187759,8.005766301,4.66108453,0.179763186,2.629565217
BBB,CMS Energy Corporation,CMS,Moody's Investors Service,3/15/2013,Public Utilities,1.347801892,1.264885921,0.051752922,49.90804414,0.061090676,0.099472253,1.0,0.160403007,0.022298757,0.040563454,0.119599249,0.365010799,0.401038994,4.363494051,0.813554375,0.393890675,0.011281225,0.053701573,5.439202148,5.363494051,0.099472253,8.380113679,4.760260836,0.198464737,2.24609375
BBB,CMS Energy Corporation,CMS,Fitch Ratings,10/31/2016,Public Utilities,0.858757062,0.783427495,0.088512241,46.82997343,0.086107204,0.129082669,1.0,0.20268792,0.025483304,0.043549323,0.129555608,0.295948571,0.407190582,4.083940748,0.803302192,0.330508475,-0.026396562,-0.154731918,4.530406621,5.083940748,0.129082669,9.718176471,5.861820799,0.254571027,1.18729097
BBB,Lockheed Martin Corporation,LMT,Egan-Jones Ratings Company,5/7/2014,Capital Goods,1.198651079,0.235341727,0.235341727,0.0,0.065721593,0.091604568,0.092310067,0.099320958,0.082375373,0.165749162,0.606140708,1.253398917,9.638334042,6.358275722,0.864098596,0.290012034,0.816102068,11.56123403,8.155188532,7.358275722,0.091604568,9.60964404,14.16640698,0.100224878,29.47100931
A,Lockheed Martin Corporation,LMT,Egan-Jones Ratings Company,4/29/2015,Capital Goods,1.109521238,0.13012959,0.13012959,0.0,0.079254386,0.115307018,0.115241228,0.122631579,0.097483344,0.202534571,1.062941176,1.230005664,9.589905363,9.903823529,0.908289051,0.312666413,0.781427832,9.535984848,4.564393939,10.90382353,0.115307018,10.07054601,12.20328283,0.084780702,25.69745223
BBB,Lockheed Martin Corporation,LMT,Egan-Jones Ratings Company,7/27/2015,Capital Goods,1.152308458,0.077541438,0.077541438,0.0,0.078145322,0.108883205,0.112720021,0.117835776,0.073379743,0.143223746,1.164029706,0.939016447,8.40291439,14.86309332,0.936960593,0.282301413,0.815918447,13.4128263,3.512729617,15.86309332,0.108883205,12.32502321,16.43893007,0.110574005,20.73556231
BBB,Lockheed Martin Corporation,LMT,Moody's Investors Service,6/15/2012,Capital Goods,1.161912613,0.295548228,0.295300907,0.0,0.057098002,0.078087701,0.079657627,0.085593239,0.070037987,0.140856544,2.652347652,1.226627625,10.08436348,36.87012987,0.973593964,0.2654916,0.80860569,10.23816612,10.67281929,37.87012987,0.078087701,6.460136127,12.6615064,0.091464333,18.8607316
BBB,Lockheed Martin Corporation,LMT,Moody's Investors Service,12/14/2012,Capital Goods,1.13986014,0.156149733,0.156149733,0.0,0.058178967,0.086304099,0.08893222,0.093976516,0.071009132,0.153648781,70.38461538,1.22052927,10.09240642,990.2051282,0.998991127,0.325884086,0.396540679,1.912264442,5.863453815,991.2051282,0.086304099,6.079597381,4.822366389,0.033084651,21.0922473
A,Pinnacle West Capital Corporation,PNW,Egan-Jones Ratings Company,12/4/2015,Public Utilities,0.617420442,0.429198297,0.02737817,28.68369331,0.125093443,0.137202352,1.0,0.244490326,0.029095654,0.035299947,0.09538938,0.232591362,0.328885737,2.278475156,0.69498015,0.495680623,0.016667778,0.164285843,3.101516762,3.278475156,0.137202352,7.553165813,9.856493074,0.313072478,3.702090897
A,Pinnacle West Capital Corporation,PNW,Egan-Jones Ratings Company,11/26/2014,Public Utilities,0.624339782,0.459052826,0.004877038,31.12444267,0.11387082,0.184555818,1.0,0.232338918,0.02777756,0.050523863,0.091035063,0.243939232,0.344162112,2.277287909,0.694869652,0.342496365,0.171870098,1.708395856,3.778397483,3.277287909,0.184555818,8.108904119,9.94004122,0.314932101,3.996561781
AA,Pinnacle West Capital Corporation,PNW,Egan-Jones Ratings Company,6/6/2014,Public Utilities,0.64474276,0.483140209,0.005885173,31.68646812,0.117544928,0.194103967,1.0,0.244982383,0.030060215,0.056396521,0.096811755,0.255733829,0.348943688,2.220594259,0.689498298,0.343879789,0.118775833,1.245499345,4.383619436,3.220594259,0.194103967,6.337426624,10.48613435,0.333844049,3.851133152
B,"Bottomline Technologies, Inc.",EPAY,Egan-Jones Ratings Company,12/3/2014,Technology,2.590316986,2.329809218,1.546855973,74.14994095,-0.063556066,-0.056629572,0.565287689,-0.008243924,-0.027278062,-0.028755953,-0.049310062,0.429196836,8.372608005,0.807681983,0.446805351,-0.122312302,0.757721989,1.07425205,5.198403649,1.807681983,-0.056629572,26.5852539,1.417739045,0.173731224,8.024811153
B,"Bottomline Technologies, Inc.",EPAY,Egan-Jones Ratings Company,12/22/2015,Technology,2.153670544,1.968471092,1.138300671,71.85521429,-0.104808561,-0.049309587,0.578586777,-0.002305909,-0.050371541,-0.028032341,-0.099501346,0.480605214,6.954517749,0.975348456,0.493760204,-1.125520961,0.628437002,1.042241972,3.81918214,1.975348456,-0.049309587,22.94089815,1.65846691,0.189489527,11.99698873
A,Enterprise Products Partners L.P.,EPD,Egan-Jones Ratings Company,11/26/2013,Public Utilities,0.852488864,0.967312804,0.006906429,41.87477738,0.054411549,0.055830033,0.145762357,0.072648606,0.064698159,0.083529781,0.170682493,1.189051962,1.771169647,1.638135237,0.620944375,0.021579224,0.118302936,0.511521253,2.789597315,2.638135237,0.055830033,9.901035241,4.323825503,0.080991891,56.33577449
A,Enterprise Products Partners L.P.,EPD,Egan-Jones Ratings Company,11/14/2014,Public Utilities,0.697346864,0.881339142,0.009449179,29.10031449,0.058129932,0.059573066,0.156139992,0.078740469,0.059179588,0.072822291,0.154313743,1.018057056,1.604706575,1.607550157,0.616498269,0.008086536,0.304958916,0.686590577,1.685725104,2.607550157,0.059573066,16.54114482,2.251419917,0.086800747,52.29271129
A,Enterprise Products Partners L.P.,EPD,Egan-Jones Ratings Company,7/27/2015,Public Utilities,0.601819552,0.399715346,0.002651187,34.70537852,0.093281387,0.094565246,0.274346139,0.130983169,0.051503514,0.061167298,0.12422703,0.552130659,0.84370698,1.412010781,0.585408155,-0.000978129,0.04289926,0.087308044,0.149852537,2.412010781,0.094565246,13.78367272,2.035187633,0.148084017,22.80304616
BBB,Enterprise Products Partners L.P.,EPD,Egan-Jones Ratings Company,3/22/2013,Public Utilities,0.753394278,0.742808515,0.002075893,37.29363292,0.056827709,0.056614009,0.154230199,0.073014881,0.067342157,0.085553982,0.183496743,1.185023265,1.713853918,1.724842088,0.633006256,-0.007134561,-0.25286243,-0.848224646,1.636226503,2.724842088,0.056614009,9.56081868,3.354490601,0.067888435,47.10987574
A,QUALCOMM Incorporated,QCOM,Moody's Investors Service,5/13/2015,Technology,3.727423915,3.32230168,1.314984201,33.23819232,0.300789066,0.33140786,0.596556801,0.285045494,0.164017787,0.206245154,0.203400648,0.54529172,10.65018094,0.240113355,0.193622102,0.141717931,0.866659165,4.576351753,10.43672014,1.240113355,0.33140786,14.1613,5.280451575,0.335523087,4.895098488
A,QUALCOMM Incorporated,QCOM,Standard & Poor's Ratings Services,11/14/2016,Technology,3.143345644,2.854192313,0.813295035,34.38630381,0.242209391,0.290099346,0.586100025,0.275749342,0.1089593,0.15168265,0.179526717,0.449855803,10.21422376,0.647649317,0.393074734,0.165520269,0.927162162,4.623315364,12.56603774,1.647649317,0.290099346,13.48032816,4.986522911,0.314171691,5.247039828
CC,Navistar International Corporation,NAV,Fitch Ratings,8/6/2012,Capital Goods,1.340914312,0.528830691,0.249712842,21.11407167,-0.232468335,-0.09128823,0.098702502,-0.09128823,-0.33069655,-0.248894504,0.909365559,1.422544496,7.8,-3.749848943,1.363656339,-1.505922166,0.470491803,4.153400868,22.47467438,-2.749848943,-0.09128823,-6.266089791,8.827785818,0.047111523,6.921708185
CCC,Navistar International Corporation,NAV,Egan-Jones Ratings Company,12/16/2013,Capital Goods,1.281154659,0.544942502,0.177188453,24.96566125,-0.083341067,-0.090394432,0.094106729,-0.090394432,-0.107997595,-0.240256537,0.24609482,1.295850872,6.188971855,-3.278706495,1.43884546,0.175564682,-0.67,-0.833333333,19.71393035,-2.278706495,-0.090394432,-15.122552,1.243781095,0.009280742,6.498668442
BB,Navistar International Corporation,NAV,Fitch Ratings,6/15/2012,Capital Goods,1.507919967,0.516048353,0.112338474,31.87670153,0.123441754,0.022925921,0.193150881,0.022925921,0.140183874,0.042706526,-63.81481481,1.135627695,8.89044586,-456.2222222,1.002196729,-4.55625,0.482954545,5.837912088,17.26648352,-455.2222222,0.022925921,10.15512139,12.08791209,0.063046282,5.307257304
B,Navistar International Corporation,NAV,Egan-Jones Ratings Company,9/17/2015,Capital Goods,1.220168955,0.395987328,0.240760296,15.44230769,-0.018145957,-0.010157791,0.144970414,-0.010157791,-0.027495517,-0.03546832,0.035610606,1.51524208,7.539033457,-2.295142249,1.772115959,-0.495145631,-1.586956522,-0.894607843,13.125,-1.295142249,-0.010157791,25.90705116,0.56372549,0.004536489,6.664104535
B,Navistar International Corporation,NAV,Egan-Jones Ratings Company,7/9/2014,Capital Goods,1.184826282,0.391160482,0.11746632,18.67897464,-0.057282991,-0.051452897,0.117712382,-0.051452897,-0.08316539,-0.173100872,0.133003868,1.451833938,6.918053777,-2.599269446,1.625285503,-0.04676259,1.261904762,-5.208845209,13.53808354,-1.599269446,-0.051452897,-43.66354286,-4.127764128,-0.031093837,6.095907928
A,Ameren Corporation,AEE,Egan-Jones Ratings Company,6/3/2015,Public Utilities,0.909737661,0.271231659,0.00222321,25.50718652,0.096811498,0.160251115,1.0,0.207169998,0.0258423,0.04748617,0.087293311,0.266934204,0.347394399,2.377923432,0.703960134,0.388659794,-0.150870406,-0.964550701,0.770816158,3.377923432,0.160251115,8.330879536,6.393239901,0.256236577,0.0
A,Ameren Corporation,AEE,Egan-Jones Ratings Company,11/30/2015,Public Utilities,0.915910177,0.415193502,0.139512661,23.22400787,0.103312561,0.155460807,1.0,0.206461135,0.026649746,0.043996844,0.090699683,0.257952623,0.324378956,2.403397639,0.706175973,0.382911392,0.049578582,0.412201154,1.982687552,3.403397639,0.155460807,8.297258469,8.314097279,0.330764185,1.12998713
A,Ameren Corporation,AEE,Egan-Jones Ratings Company,6/13/2014,Public Utilities,0.801300284,0.24095896,0.012190167,25.25865022,0.049503255,0.088729017,1.0,0.202809181,0.013734436,0.02787794,0.044162592,0.27744511,0.360259179,2.215464548,0.689002946,0.6003861,0.185469581,1.294311624,0.779060181,3.215464548,0.088729017,7.736388689,6.97856554,0.289996574,0.0
BBB,Ameren Corporation,AEE,Moody's Investors Service,6/15/2012,Public Utilities,1.285714286,0.692436975,0.142857143,51.41346779,0.084417697,0.125731945,0.287085231,0.168022121,0.021949672,0.053064959,0.065538578,0.260012688,0.339162575,1.967041293,0.658786213,0.328589909,0.497870075,3.859811004,1.527411841,2.9858568,0.188679245,8.463384,7.752647129,0.305465192,6.324675325
A,Eversource Energy,ES,Egan-Jones Ratings Company,11/10/2015,Public Utilities,0.875909679,0.807503203,0.008009593,35.58219431,0.111379418,0.179258581,1.0,0.221772768,0.028973023,0.05168337,0.085585935,0.260129059,0.000399892,1.953987045,0.66147448,0.378666186,-0.210750514,-0.945726822,5.164180712,2.953987045,0.179258581,10.63597711,4.487423572,0.17901395,3.792804242
